epoch,train_loss,val_loss,macro_auroc,micro_auroc,macro_f1,micro_f1,macro_precision,micro_precision,macro_recall,micro_recall,learning_rate,best_score
1,0.9727958357423448,1.0543309720847762,0.796532652598314,0.8060321151015902,0.1937942140492186,0.22288376645223118,0.12195800375250053,0.13362100579419603,0.6826898434801963,0.6713961058903016,5e-05,0.796532652598314
2,0.9577293968226201,1.0842850131304655,0.8014273067675114,0.8164951550101136,0.20191136588167788,0.2330780593590563,0.12656827897053444,0.14050421866316373,0.6793966700438494,0.6832504145936982,5e-05,0.8014273067675114
3,0.9468157404114679,1.0698948866590363,0.8040442878727884,0.8187289851965945,0.20618372235933416,0.23112423083319475,0.12971623508198962,0.13910193051159184,0.6883617405315744,0.6828818868619864,5e-05,0.8040442878727884
4,0.9341946022662783,1.0572001963184001,0.8020516361295098,0.8125445791200938,0.1984116054522349,0.22442447005658675,0.1246024374198403,0.1338004868480136,0.7036558887224144,0.6954732510288066,5e-05,0.8020516361295098
5,0.9148777328428949,1.0700569342299524,0.8081111311918235,0.81822088697287,0.2036112539307278,0.23164351804361652,0.12723092934730235,0.13904316236684933,0.7027674098650063,0.6935077697930102,5e-05,0.8081111311918235
6,0.9015383466498749,1.0999666990827246,0.8065956716352781,0.8258165708367762,0.2172249693457962,0.24937515401133523,0.13848441994519284,0.15413402959094866,0.6516112629175064,0.6526626128616179,5e-05,0.8065956716352781
7,0.8810152635802297,1.1114639714067849,0.8069823299793261,0.8226328205084428,0.2134750709951003,0.24343304747113242,0.13559067085138124,0.14902236368897523,0.6703834835768879,0.6642712364105399,5e-05,0.8069823299793261
8,0.8621455537307445,1.110516811157183,0.809724554175122,0.8254844341687624,0.21733906398946595,0.24717864024222405,0.13864847225296073,0.15196513940009307,0.6608362803784645,0.6618758061544131,5e-05,0.809724554175122
9,0.8487589407554066,1.1216237763826056,0.8087445907765796,0.8283533289698228,0.21485853249695644,0.24574163525627563,0.1348343880421338,0.14983555291960965,0.6722878204781086,0.6827590442847491,5e-05,0.8087445907765796
10,0.8228729515257709,1.1486641985579895,0.8107884407624991,0.828726843679723,0.22116201901241545,0.2466171103000089,0.1397525067068012,0.15059184866069608,0.6733310454310294,0.6806092991830969,5e-05,0.8107884407624991
11,0.8297905506851245,1.097829282390106,0.8115405857316228,0.8285099057435741,0.2131325472104723,0.24412847252650952,0.13368277557426744,0.1485594677830069,0.6877529215425693,0.6844174190774522,5e-05,0.8115405857316228
12,0.8088290160824221,1.1629799656726785,0.8113826908588591,0.8359729838610067,0.22526747510244188,0.26048030972113,0.14356712957470275,0.1621870009341007,0.642682113847412,0.6612001719796081,5e-05,0.8113826908588591
13,0.7935874475524377,1.1623551951022901,0.811486766937235,0.8330047572449673,0.223630461799377,0.252965251771035,0.14200393129906114,0.15591413217470843,0.6588064873212305,0.6700448375406916,5e-05,0.811486766937235
14,0.7805896243834726,1.2105687018211424,0.8107465244331312,0.8344603464512506,0.2291748089015106,0.26004480592217405,0.1474147805334142,0.16216913942081365,0.6391036347766823,0.6559179411584055,5e-05,0.8107465244331312
15,0.7624045329097335,1.1871617507432726,0.8124578787667222,0.8366008136171085,0.22941516490702665,0.26086004500942767,0.14680027173999485,0.16264182998604454,0.6411453936132492,0.6585590565690068,5e-05,0.8124578787667222
16,0.7492043587338955,1.1874620549984163,0.8133268561842828,0.8376953398247292,0.2315104869079225,0.26384782180169525,0.1482535150152314,0.16502535176537672,0.6415554114885323,0.6576991585283459,5e-05,0.8133268561842828
17,0.7373807452382507,1.210927772088175,0.8123785130041857,0.8379290984302497,0.23157776872033684,0.265125,0.14873918727312588,0.16643387372683188,0.6319943611363775,0.6513727658006265,5e-05,0.8123785130041857
18,0.7355901586384251,1.2362330434495026,0.8115671000128574,0.8380211759897938,0.2368057351000766,0.2698197021165404,0.15422229779853866,0.17136029472775852,0.6162973551127751,0.6342362262760273,5e-05,0.8115671000128574
19,0.7274340788594238,1.230432554138502,0.8117834994243334,0.8396613521038013,0.23677918518313576,0.26972799139002424,0.15300985505040848,0.17041186374821915,0.6226853340467056,0.6465204839997544,5e-05,0.8117834994243334
20,0.7244056921280838,1.2377583011532953,0.8117865780396086,0.8385779980273317,0.2349125222576518,0.26862453149869076,0.15213740269842857,0.16979570642737762,0.6200192624088743,0.6427123641053989,5e-05,0.8117865780396086
