metric,default,tuned,change
macro_auroc,0.8133271820618155,0.8133271820618155,0.0
macro_f1,0.2314828249383066,0.28620439598246167,0.054721571044155065
macro_precision,0.1482406635709741,0.23266904024953908,0.08442837667856498
macro_recall,0.6414691941332527,0.3958251577584832,-0.24564403637476945
micro_auroc,0.8376954187538347,0.8376954187538347,0.0
micro_f1,0.26380504151984824,0.33656646158561954,0.0727614200657713
micro_precision,0.16499961470293598,0.2614997278170931,0.0965001131141571
micro_recall,0.6575763159511087,0.4720840243228303,-0.18549229162827835
