epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1.0,0.6060115881477084,0.6644991660863161,0.7725,0.764375,0.0001
2.0,0.39112770342401093,0.8258671807497739,0.8575,0.733125,0.0001
3.0,0.31424052635473865,0.6884487670706585,0.88875,0.7975,0.0001
4.0,0.25256614390228477,0.6123755989596248,0.9076785714285714,0.860625,0.0001
5.0,0.20922254720436675,0.5649996848101728,0.9275,0.865625,0.0001
6.0,0.16862031022885016,0.39305593150667845,0.9441071428571428,0.900625,0.0001
7.0,0.16103278833840576,0.5272032694984228,0.9453571428571429,0.911875,0.0001
8.0,0.13100037302821874,0.4658729139342904,0.9558928571428571,0.883125,0.0001
9.0,0.12646149178700788,0.4291907463059761,0.9555357142857143,0.9275,0.0001
10.0,0.10434492066369525,0.41824456200469284,0.9657142857142857,0.92375,0.0001
11.0,0.0816847575083375,0.47614041551481934,0.9708928571428571,0.914375,0.0001
12.0,0.08616970485408923,1.1513589918403886,0.9685714285714285,0.7925,0.0001
13.0,0.08307907263083117,0.5532010457594879,0.9733928571428572,0.925625,0.0001
14.0,0.06511535247555003,0.47343338350881825,0.9794642857142857,0.930625,0.0001
15.0,0.06954072672807213,0.6002841475210152,0.9742857142857143,0.91,0.0001
