epoch,train_loss,val_loss,macro_auroc,micro_auroc,macro_f1,micro_f1,macro_precision,micro_precision,macro_recall,micro_recall,learning_rate,best_score
1,1.226630606355303,1.2002493012942377,0.69318757213492,0.6829146545122777,0.1423203083397763,0.15497260585250083,0.09027592174928516,0.08978935049736689,0.5885340279627129,0.5655058043117744,0.0001,0.69318757213492
2,1.1670973665408904,1.18723373897068,0.7125681922600109,0.7365157473351642,0.1386703427997684,0.16019906315577473,0.08122895700433184,0.08957425167102587,0.7221178471026058,0.7572630673791536,0.0001,0.7125681922600109
3,1.1340575725573792,1.1592962143466254,0.7347762617695944,0.7173831842093759,0.15109674836408488,0.15759391058228683,0.0930817737248916,0.08872009467602082,0.728232351111654,0.704502180455746,0.0001,0.7347762617695944
4,1.108024806709235,1.1434930199773832,0.748146075747589,0.7377610587773483,0.16199505929577768,0.1719695842502173,0.10176250857051307,0.09854957995261004,0.6960368694505259,0.6744057490326147,0.0001,0.748146075747589
5,1.0791485688110525,1.080219144124539,0.7670004624243215,0.7557157194250073,0.16736196157144487,0.18101477241401676,0.1042778854127873,0.10427155627376071,0.7180551819461521,0.6856458448498249,0.0001,0.7670004624243215
6,1.065595371443333,1.1745549750634274,0.7431068998163803,0.7404869368249819,0.16392230416355516,0.17273454610106756,0.10361011550044619,0.09945280946974631,0.6482525686841775,0.6564093114673546,0.0001,0.7431068998163803
7,1.0529166855983891,1.0699980297430558,0.7746458545836629,0.7758077884003662,0.17928726576150567,0.20377527477341537,0.11312377818366517,0.12107820453493753,0.6635713012141112,0.6428352066826362,0.0001,0.7746458545836629
8,1.0378127392385417,1.065191420728804,0.7813915102469674,0.7749092836064122,0.17826710645603563,0.19795769645871578,0.11380956921357983,0.11647092026138116,0.6909189575077129,0.6590504268779559,0.0001,0.7813915102469674
9,1.0268024239121614,1.0594576437516676,0.780734310738061,0.776438320936661,0.1719977539193526,0.19154482412899992,0.10544154228437093,0.11085108646249359,0.729477294867353,0.7040722314354155,0.0001,0.780734310738061
10,1.0100453107900549,1.0427679804831882,0.7890440016850677,0.7859513378375563,0.18391236918999726,0.20389791601026241,0.11409404214063831,0.11945698493734441,0.7150982414090942,0.6955960936060439,0.0001,0.7890440016850677
