epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1.0,0.6405716701916286,0.6701332801580429,0.7692857142857142,0.78625,0.0001
2.0,0.35496242114475796,0.6190627610683441,0.87625,0.77125,0.0001
3.0,0.27026976823806764,0.860939924120903,0.905,0.756875,0.0001
4.0,0.2288747900724411,0.6309232423454523,0.9194642857142857,0.8175,0.0001
5.0,0.1843683349234717,0.5918816770613193,0.9335714285714286,0.8425,0.0001
6.0,0.1553596533196313,0.49885392978787424,0.9455357142857143,0.87875,0.0001
7.0,0.13816227274281637,0.7352265868335962,0.9525,0.8325,0.0001
8.0,0.11268548558865275,0.4391376483440399,0.9632142857142857,0.89,0.0001
9.0,0.09361264326742717,0.6344308249652386,0.96875,0.856875,0.0001
10.0,0.08875720160348075,0.44965107142925265,0.9716071428571429,0.896875,0.0001
11.0,0.08381888683353152,0.41312084332108495,0.9725,0.905,0.0001
12.0,0.07111522755452565,0.7509757455438375,0.975,0.809375,0.0001
13.0,0.07094711874212538,0.4005968704819679,0.9760714285714286,0.9225,0.0001
14.0,0.06652445897459984,0.561935019493103,0.9796428571428571,0.90125,0.0001
15.0,0.060927020119769235,0.5915714209526777,0.9801785714285715,0.89375,0.0001
16.0,0.05421168563621385,0.4874564643204212,0.9833928571428572,0.933125,0.0001
17.0,0.041578270963260104,0.3979837093502283,0.9866071428571429,0.93625,0.0001
18.0,0.03668475606611797,0.5073447482287884,0.98875,0.909375,0.0001
19.0,0.055810202956199643,0.5593627090007067,0.9810714285714286,0.90625,0.0001
20.0,0.03749840338315283,0.3513893797248602,0.9889285714285714,0.9375,0.0001
