metric,default,tuned,change
macro_auroc,0.7890431696755235,0.7890431696755235,0.0
macro_f1,0.1839145397686372,0.23284634789147468,0.048931808122837483
macro_precision,0.11409352557500167,0.17983162090599844,0.06573809533099677
macro_recall,0.7151284182453548,0.3716340693430243,-0.3434943489023305
micro_auroc,0.7859515074577517,0.7859515074577517,0.0
micro_f1,0.2039085778069836,0.29614001245805455,0.09223143465107095
micro_precision,0.11946249261665683,0.2200621155109598,0.10059962289430298
micro_recall,0.6956575148946625,0.4526134758307229,-0.24304403906393962
