scope,case_type,total_cases,completed_cases,failed_cases,success_rate_pct,output_files_generated,short_note
overall,all,100,100,0,100,"main_run_summary.csv; main_run_report.txt; final_results_summary.md; final_results_table.csv","Inference-only final validation completed successfully"
case_type,brain_image_only,20,20,0,100,"model1_output.json; model3_output.json; embedding .npy","Brain MRI image-only cases"
case_type,xray_image_only,20,20,0,100,"model1_output.json; model3_output.json; embedding .npy","Chest X-ray image-only cases"
case_type,prescription_doc_only,20,20,0,100,"model2_output.json; model3_output.json","Prescription document-only cases"
case_type,lab_doc_only,20,20,0,100,"model2_output.json; model3_output.json","Lab report document-only cases"
case_type,brain_fusion,10,10,0,100,"model1_output.json; model2_output.json; model3_output.json; embedding .npy","Brain MRI + document fusion cases"
case_type,xray_fusion,10,10,0,100,"model1_output.json; model2_output.json; model3_output.json; embedding .npy","Chest X-ray + document fusion cases"
