epoch,train_loss,val_loss,macro_auroc,micro_auroc,macro_f1,micro_f1,macro_precision,micro_precision,macro_recall,micro_recall,learning_rate,best_score
1,1.3015112137794496,1.3008253917694093,0.5891918696075038,0.5483359144271307,0.11127956785870863,0.11024367163472912,0.0672842114893487,0.06027290952596521,0.6693796841533094,0.6449826989619377,0.0001,0.5891918696075038
2,1.2590202465057374,1.2685226135253906,0.6267913271402897,0.6256765647324642,0.12039176800142382,0.12750869681562751,0.07173899028257213,0.07057690883507368,0.6643673244598359,0.6595155709342561,0.0001,0.6267913271402897
3,1.2370422296524048,1.246048758506775,0.6452374405302502,0.6404733272134155,0.12407971330862089,0.1362457766952149,0.07562753329950773,0.07684807658216629,0.6147505357083131,0.6,0.0001,0.6452374405302502
4,1.2235171551704407,1.2726954011917113,0.6456603179911616,0.6525160875873603,0.12604166288345736,0.13368116759500812,0.07560467386856026,0.07442298634008479,0.6707818607396202,0.6560553633217993,0.0001,0.6456603179911616
5,1.200420705318451,1.274216908454895,0.6533887103070963,0.6651433109710929,0.12814972655503507,0.1407759303246239,0.07807518099075177,0.07948144836835047,0.5995578569471421,0.6152249134948097,0.0001,0.6533887103070963
